Entity,Code,Day,People fully vaccinated (cumulative)
World,OWID_WRL,2020-12-02,809798000
World,OWID_WRL,2020-12-03,809798000
World,OWID_WRL,2020-12-04,809798000
World,OWID_WRL,2020-12-05,809798000
World,OWID_WRL,2020-12-06,809798000
World,OWID_WRL,2020-12-07,809798000
World,OWID_WRL,2020-12-08,809798000
World,OWID_WRL,2020-12-09,809798000
World,OWID_WRL,2020-12-10,809798000
World,OWID_WRL,2020-12-11,809798000
World,OWID_WRL,2020-12-12,809798000
World,OWID_WRL,2020-12-13,809798000
World,OWID_WRL,2020-12-14,809798200
World,OWID_WRL,2020-12-15,809798500
World,OWID_WRL,2020-12-16,809799040
World,OWID_WRL,2020-12-17,809799900
World,OWID_WRL,2020-12-18,809801200
World,OWID_WRL,2020-12-19,809802400
World,OWID_WRL,2020-12-20,809803200
World,OWID_WRL,2020-12-21,809804860
World,OWID_WRL,2020-12-22,809807900
World,OWID_WRL,2020-12-23,809811140
World,OWID_WRL,2020-12-24,809812400
World,OWID_WRL,2020-12-25,809812540
World,OWID_WRL,2020-12-26,809813570
World,OWID_WRL,2020-12-27,809814460
World,OWID_WRL,2020-12-28,809819100
World,OWID_WRL,2020-12-29,809824700
World,OWID_WRL,2020-12-30,809832450
World,OWID_WRL,2020-12-31,809836100
World,OWID_WRL,2021-01-01,809845570
World,OWID_WRL,2021-01-02,809848770
World,OWID_WRL,2021-01-03,809851500
World,OWID_WRL,2021-01-04,809897340
World,OWID_WRL,2021-01-05,809986100
World,OWID_WRL,2021-01-06,810161700
World,OWID_WRL,2021-01-07,810447040
World,OWID_WRL,2021-01-08,810816600
World,OWID_WRL,2021-01-09,810948350
World,OWID_WRL,2021-01-10,811024700
World,OWID_WRL,2021-01-11,811436740
World,OWID_WRL,2021-01-12,811853060
World,OWID_WRL,2021-01-13,812246340
World,OWID_WRL,2021-01-14,812511300
World,OWID_WRL,2021-01-15,812725760
World,OWID_WRL,2021-01-16,812883300
World,OWID_WRL,2021-01-17,813091300
World,OWID_WRL,2021-01-18,813536830
World,OWID_WRL,2021-01-19,814175500
World,OWID_WRL,2021-01-20,814929660
World,OWID_WRL,2021-01-21,815577340
World,OWID_WRL,2021-01-22,816011700
World,OWID_WRL,2021-01-23,816393200
World,OWID_WRL,2021-01-24,816768500
World,OWID_WRL,2021-01-25,817688000
World,OWID_WRL,2021-01-26,818762050
World,OWID_WRL,2021-01-27,819868100
World,OWID_WRL,2021-01-28,820979500
World,OWID_WRL,2021-01-29,821953700
World,OWID_WRL,2021-01-30,822583550
World,OWID_WRL,2021-01-31,823012300
World,OWID_WRL,2021-02-01,824075650
World,OWID_WRL,2021-02-02,825345900
World,OWID_WRL,2021-02-03,826854500
World,OWID_WRL,2021-02-04,828472770
World,OWID_WRL,2021-02-05,830004800
World,OWID_WRL,2021-02-06,830833600
World,OWID_WRL,2021-02-07,831317500
World,OWID_WRL,2021-02-08,832561200
World,OWID_WRL,2021-02-09,834103100
World,OWID_WRL,2021-02-10,835864640
World,OWID_WRL,2021-02-11,837750100
World,OWID_WRL,2021-02-12,839592300
World,OWID_WRL,2021-02-13,840697200
World,OWID_WRL,2021-02-14,841351800
World,OWID_WRL,2021-02-15,842618400
World,OWID_WRL,2021-02-16,844464260
World,OWID_WRL,2021-02-17,846544100
World,OWID_WRL,2021-02-18,848790800
World,OWID_WRL,2021-02-19,851201150
World,OWID_WRL,2021-02-20,852546800
World,OWID_WRL,2021-02-21,853360100
World,OWID_WRL,2021-02-22,854987140
World,OWID_WRL,2021-02-23,857015000
World,OWID_WRL,2021-02-24,859222100
World,OWID_WRL,2021-02-25,861904100
World,OWID_WRL,2021-02-26,864500900
World,OWID_WRL,2021-02-27,866152450
World,OWID_WRL,2021-02-28,866754700
World,OWID_WRL,2021-03-01,868371400
World,OWID_WRL,2021-03-02,870319740
World,OWID_WRL,2021-03-03,872859700
World,OWID_WRL,2021-03-04,875754560
World,OWID_WRL,2021-03-05,878532600
World,OWID_WRL,2021-03-06,880379260
World,OWID_WRL,2021-03-07,881144260
World,OWID_WRL,2021-03-08,883227700
World,OWID_WRL,2021-03-09,885743600
World,OWID_WRL,2021-03-10,888906500
World,OWID_WRL,2021-03-11,891908500
World,OWID_WRL,2021-03-12,895518300
World,OWID_WRL,2021-03-13,898038460
World,OWID_WRL,2021-03-14,899216260
World,OWID_WRL,2021-03-15,902048830
World,OWID_WRL,2021-03-16,905314050
World,OWID_WRL,2021-03-17,908784100
World,OWID_WRL,2021-03-18,912082900
World,OWID_WRL,2021-03-19,915496400
World,OWID_WRL,2021-03-20,917666000
World,OWID_WRL,2021-03-21,918723140
World,OWID_WRL,2021-03-22,921190900
World,OWID_WRL,2021-03-23,924282900
World,OWID_WRL,2021-03-24,928165060
World,OWID_WRL,2021-03-25,932190400
World,OWID_WRL,2021-03-26,936297340
World,OWID_WRL,2021-03-27,938924000
World,OWID_WRL,2021-03-28,940441700
World,OWID_WRL,2021-03-29,943301300
World,OWID_WRL,2021-03-30,947005100
World,OWID_WRL,2021-03-31,951439400
World,OWID_WRL,2021-04-01,956286600
World,OWID_WRL,2021-04-02,959786200
World,OWID_WRL,2021-04-03,962449900
World,OWID_WRL,2021-04-04,963729900
World,OWID_WRL,2021-04-05,967224960
World,OWID_WRL,2021-04-06,971816200
World,OWID_WRL,2021-04-07,977169100
World,OWID_WRL,2021-04-08,982801500
World,OWID_WRL,2021-04-09,988597400
World,OWID_WRL,2021-04-10,992555840
World,OWID_WRL,2021-04-11,994809150
World,OWID_WRL,2021-04-12,999230850
World,OWID_WRL,2021-04-13,1003958850
World,OWID_WRL,2021-04-14,1008958700
World,OWID_WRL,2021-04-15,1014209860
World,OWID_WRL,2021-04-16,1019755500
World,OWID_WRL,2021-04-17,1023613000
World,OWID_WRL,2021-04-18,1025924100
World,OWID_WRL,2021-04-19,1030878140
World,OWID_WRL,2021-04-20,1035788740
World,OWID_WRL,2021-04-21,1041093760
World,OWID_WRL,2021-04-22,1047587000
World,OWID_WRL,2021-04-23,1053746750
World,OWID_WRL,2021-04-24,1058110400
World,OWID_WRL,2021-04-25,1060798000
World,OWID_WRL,2021-04-26,1066521150
World,OWID_WRL,2021-04-27,1073103800
World,OWID_WRL,2021-04-28,1080216400
World,OWID_WRL,2021-04-29,1087359100
World,OWID_WRL,2021-04-30,1093958100
World,OWID_WRL,2021-05-01,1097935100
World,OWID_WRL,2021-05-02,1100396900
World,OWID_WRL,2021-05-03,1105589200
World,OWID_WRL,2021-05-04,1111848300
World,OWID_WRL,2021-05-05,1119312300
World,OWID_WRL,2021-05-06,1126896600
World,OWID_WRL,2021-05-07,1133812400
World,OWID_WRL,2021-05-08,1138825600
World,OWID_WRL,2021-05-09,1141294300
World,OWID_WRL,2021-05-10,1146794900
World,OWID_WRL,2021-05-11,1153168800
World,OWID_WRL,2021-05-12,1160184200
World,OWID_WRL,2021-05-13,1166201500
World,OWID_WRL,2021-05-14,1171870600
World,OWID_WRL,2021-05-15,1176307300
World,OWID_WRL,2021-05-16,1178822000
World,OWID_WRL,2021-05-17,1183390500
World,OWID_WRL,2021-05-18,1189236600
